<<<<<<< HEAD
sent	sid	wid	token	lemma	gram	head	type	token14	lemma14	gram14	head14	type14
Агентство GA, входящее в Interpublic Group of Cos, работает с Nike уже более двух лет, и именно ему принадлежит заслуга успешного продвижения мирового лидера по производству кроссовок в Интернете, включая создание главного сайта Nike.	33526	1	Агентство	агентство	neu,nn,nom,sg	11	subj:nom	Агентство	агентство	S,ЕД,ИМ,НЕОД,СРЕД	11	предик
=======
sent	sid	wid	token	lemma	gram	head	type	token14	lemma14	gram14	head14	type14
Милиционер дал ему конфету и банан	33525	1	Милиционер	милиционер	anm,trd,nn,msc,nom,sg	2	subj:nom	Миллиционер	миллиционер	ИМ,S,МУЖ,ОД,ЕД	2	предик
Милиционер дал ему конфету и банан	33525	2	дал	дать	ind,sg,fin,pst,act,vrb,msc,trd	0	root	дал	дать	ИЗЪЯВ,ЕД,СОВ,ПРОШ,МУЖ,V	0	root
Милиционер дал ему конфету и банан	33525	3	ему	он	sg,dat,prn,msc,trd	2	dat	ему	он	S,МУЖ,ОД,ЕД,ДАТ	2	2-компл
Милиционер дал ему конфету и банан	33525	4	конфету	конфета	fem,trd,sg,acc,nn	2	obj:acc	конфету	конфета	S,ЖЕН,НЕОД,ЕД,ВИН	2	1-компл
Милиционер дал ему конфету и банан	33525	5	и	и	cnj	6	conj	и	и	CONJ	4	сочин
Милиционер дал ему конфету и банан	33525	6	банан	банан	msc,trd,sg,acc,nn	4	obj:acc:coord	банан	банан	S,МУЖ,НЕОД,ЕД,ВИН	5	соч-союз
Морж подарил ей игрушку и очки	33526	1	Морж	морж	anm,trd,nn,msc,nom,sg	2	sbj:nom	Миллиционер	миллиционер	ИМ,S,МУЖ,ОД,ЕД	2	предик
Морж подарил ей игрушку и очки	33526	2	подарил	дать	ind,sg,fin,pst,act,vrb,msc,trd	0	root	дал	дать	ИЗЪЯВ,ЕД,СОВ,ПРОШ,МУЖ,V	0	root
Морж подарил ей игрушку и очки	33526	3	ей	он	sg,dat,prn,msc,trd	2	dat	ему	он	S,МУЖ,ОД,ЕД,ДАТ	2	2-компл
Морж подарил ей игрушку и очки	33526	4	игрушку	конфета	fem,trd,sg,acc,nn	2	obj:acc	конфету	конфета	S,ЖЕН,НЕОД,ЕД,ВИН	2	1-компл
Морж подарил ей игрушку и очки	33526	5	и	и	cnj	6	conj	и	и	CONJ	4	сочин
Морж подарил ей игрушку и очки	33526	6	очки	банан	msc,trd,sg,acc,nn	4	obj:acc:coord	банан	банан	S,МУЖ,НЕОД,ЕД,ВИН	5	соч-союз
Настурция мне отдала помидоры	33527	1	Настурция	милиционер	anm,trd,nn,msc,nom,sg	3	subj:nom	Миллиционер	миллиционер	ИМ,S,МУЖ,ОД,ЕД	3	предик
Настурция мне отдала помидоры	33527	2	мне	он	sg,dat,prn,msc,trd	3	dat	ему	он	S,МУЖ,ОД,ЕД,ДАТ	3	2-компл
Настурция мне отдала помидоры	33527	3	отдала	дать	ind,sg,fin,pst,act,vrb,msc,trd	0	root	дал	дать	ИЗЪЯВ,ЕД,СОВ,ПРОШ,МУЖ,V	0	root
Настурция мне отдала помидоры	33527	4	помидоры	конфета	fem,trd,sg,acc,nn	3	obj:acc	конфету	конфета	S,ЖЕН,НЕОД,ЕД,ВИН	3	1-компл
Агентство GA, входящее в Interpublic Group of Cos, работает с Nike уже более двух лет, и именно ему принадлежит заслуга успешного продвижения мирового лидера по производству кроссовок в Интернете, включая создание главного сайта Nike.	33526	1	Агентство	агентство	neu,nn,nom,sg	11	subj:nom	Агентство	агентство	S,ЕД,ИМ,НЕОД,СРЕД	11	предик
>>>>>>> origin/master
Агентство GA, входящее в Interpublic Group of Cos, работает с Nike уже более двух лет, и именно ему принадлежит заслуга успешного продвижения мирового лидера по производству кроссовок в Интернете, включая создание главного сайта Nike.	33526	2	GA	ga	acc,fem,frn,msc,neu,nom,pl,sg	1	misc	GA	ga	NID	1	аппоз
